name,shots,goals,assists,hits,time_ice,pen_min,team_id,player_id,game_id,date,pp_goals,pp_assists,fo_wins,fo,takeaways,giveaways,goals_sh,assists_sh,blocks,plus_minus,time_ice_even,time_ice_sh,time_ice_pp,team,pos
E. Malkin,4,1,0,0.0,1220,0,5,8471215,2019020007,20191003,1,0,4,10,1.0,2.0,0,0,0.0,0,858,0,362,PIT,C
S. Crosby,1,0,1,1.0,1261,0,5,8471675,2019020007,20191003,0,1,13,27,0.0,2.0,0,0,1.0,-1,890,0,371,PIT,C
J. Johnson,1,0,0,3.0,846,0,5,8471677,2019020007,20191003,0,0,0,0,0.0,1.0,0,0,3.0,0,724,122,0,PIT,D
K. Letang,4,0,1,1.0,1665,0,5,8471724,2019020007,20191003,0,1,0,0,1.0,4.0,0,0,3.0,-2,1124,140,401,PIT,D
V. Sobotka,1,0,0,6.0,974,2,7,8471743,2019020007,20191003,0,0,3,5,0.0,0.0,0,0,0.0,0,828,146,0,BUF,LW
P. Hornqvist,2,0,0,4.0,1196,0,5,8471887,2019020007,20191003,0,0,0,0,0.0,0.0,0,0,0.0,-1,910,0,286,PIT,RW
K. Okposo,1,0,0,3.0,520,0,7,8473449,2019020007,20191003,0,0,1,1,0.0,0.0,0,0,1.0,0,520,0,0,BUF,RW
J. Schultz,6,0,0,0.0,1205,0,5,8474602,2019020007,20191003,0,0,0,0,0.0,1.0,0,0,1.0,0,1012,0,193,PIT,D
M. Scandella,2,0,0,1.0,1293,0,7,8474618,2019020007,20191003,0,0,0,0,0.0,0.0,0,0,3.0,0,1016,277,0,BUF,D
M. Johansson,0,0,0,0.0,919,0,7,8475149,2019020007,20191003,0,0,2,9,0.0,0.0,0,0,1.0,0,811,16,92,BUF,LW
B. Dumoulin,1,0,0,4.0,1167,2,5,8475208,2019020007,20191003,0,0,0,0,0.0,2.0,0,0,3.0,-2,1098,69,0,PIT,D
J. Larsson,2,0,0,1.0,841,0,7,8475728,2019020007,20191003,0,0,10,17,0.0,0.0,0,0,0.0,0,537,304,0,BUF,C
N. Bjugstad,0,0,0,1.0,901,0,5,8475760,2019020007,20191003,0,0,6,12,0.0,1.0,0,0,0.0,0,663,93,145,PIT,C
J. Skinner,5,0,0,1.0,1001,0,7,8475784,2019020007,20191003,0,0,1,1,1.0,0.0,0,0,1.0,0,880,0,121,BUF,LW
