player_id,game_id,shots,goals,fo,fo_wins,takeaways,giveaways,name,team,pos
8471215,2019020007,4,1,10,4,1.0,2.0,E. Malkin,PIT,C
8471675,2019020007,1,0,27,13,0.0,2.0,S. Crosby,PIT,C
8475728,2019020007,2,0,17,10,0.0,0.0,J. Larsson,BUF,C
8475760,2019020007,0,0,12,6,0.0,1.0,N. Bjugstad,PIT,C
8476878,2019020007,3,0,0,0,0.0,0.0,Z. Girgensons,BUF,C
8476927,2019020007,0,0,13,7,0.0,0.0,T. Blueger,PIT,C
8477404,2019020007,0,0,0,0,1.0,0.0,J. Guentzel,PIT,C
8477933,2019020007,2,0,1,1,0.0,0.0,S. Reinhart,BUF,C
8477955,2019020007,2,0,1,1,0.0,1.0,J. McCann,PIT,C
8478403,2019020007,4,0,18,10,0.0,0.0,J. Eichel,BUF,C
8478866,2019020007,1,0,0,0,2.0,0.0,D. Simon,PIT,C
8479944,2019020007,1,0,0,0,0.0,0.0,Z. Aston-Reese,PIT,C
8479999,2019020007,2,0,11,4,0.0,1.0,C. Mittelstadt,BUF,C
8474098,2019020021,1,0,1,0,1.0,1.0,C. Sceviour,FLA,C
8474564,2019020021,4,1,13,8,1.0,0.0,S. Stamkos,TBL,C
8474870,2019020021,1,0,11,7,0.0,1.0,T. Johnson,TBL,C
8476389,2019020021,3,0,18,10,0.0,0.0,V. Trocheck,FLA,C
8476826,2019020021,4,0,10,4,1.0,0.0,Y. Gourde,TBL,C
8476966,2019020021,1,1,8,5,1.0,0.0,G. Smith,TBL,C
8477409,2019020021,3,0,0,0,0.0,0.0,C. Verhaeghe,TBL,C
8477493,2019020021,2,0,14,6,0.0,0.0,A. Barkov,FLA,C
8477963,2019020021,1,0,0,0,0.0,0.0,J. Hawryluk,FLA,C
8478366,2019020021,2,0,1,0,0.0,0.0,F. Vatrano,FLA,C
8478519,2019020021,2,0,12,6,2.0,0.0,A. Cirelli,TBL,C
8478569,2019020021,2,1,20,7,0.0,0.0,N. Acciari,FLA,C
8479404,2019020021,0,0,2,1,2.0,1.0,H. Borgstrom,FLA,C
8473533,2019020023,1,0,19,14,0.0,1.0,J. Staal,CAR,C
8473563,2019020023,2,0,14,10,0.0,1.0,N. Backstrom,WSH,C
8474189,2019020023,0,0,15,10,1.0,1.0,L. Eller,WSH,C
8475343,2019020023,0,0,11,5,1.0,0.0,N. Dowd,WSH,C
8476905,2019020023,0,0,16,7,1.0,0.0,C. Stephenson,WSH,C
8478027,2019020023,0,0,9,5,0.0,0.0,L. Wallmark,CAR,C
8480039,2019020023,2,0,1,0,1.0,2.0,M. Necas,CAR,C
8473533,2019020031,2,0,18,8,1.0,3.0,J. Staal,CAR,C
8474564,2019020031,3,1,21,10,0.0,0.0,S. Stamkos,TBL,C
8474870,2019020031,2,1,19,4,1.0,1.0,T. Johnson,TBL,C
8476826,2019020031,0,0,2,2,1.0,0.0,Y. Gourde,TBL,C
8476966,2019020031,0,0,7,4,0.0,0.0,G. Smith,TBL,C
8477409,2019020031,0,0,0,0,0.0,1.0,C. Verhaeghe,TBL,C
