player_id,game_id,shots,goals,fo,fo_wins,takeaways,giveaways,name,team,pos
8471743,2019020007,1,0,5,3,0.0,0.0,V. Sobotka,BUF,LW
8475149,2019020007,0,0,9,2,0.0,0.0,M. Johansson,BUF,LW
8475784,2019020007,5,0,1,1,1.0,0.0,J. Skinner,BUF,LW
8476851,2019020007,1,0,0,0,1.0,0.0,A. Galchenyuk,PIT,LW
8476918,2019020007,2,0,0,0,1.0,1.0,J. Vesey,BUF,LW
8477839,2019020007,3,2,0,0,0.0,1.0,C. Sheary,BUF,LW
8479293,2019020007,3,0,0,0,1.0,2.0,B. Tanev,PIT,LW
8473986,2019020021,0,0,3,1,1.0,2.0,A. Killorn,TBL,LW
8474034,2019020021,4,0,1,1,0.0,0.0,P. Maroon,TBL,LW
8474884,2019020021,4,3,1,1,1.0,0.0,M. Hoffman,FLA,LW
8476456,2019020021,1,0,0,0,1.0,0.0,J. Huberdeau,FLA,LW
8478211,2019020021,1,0,0,0,0.0,0.0,D. Hunt,FLA,LW
8471214,2019020023,7,0,0,0,1.0,0.0,A. Ovechkin,WSH,LW
8474176,2019020023,1,0,0,0,0.0,2.0,C. Hagelin,WSH,LW
8475287,2019020023,1,1,19,5,0.0,1.0,E. Haula,CAR,LW
8476288,2019020023,1,0,0,0,0.0,0.0,R. Dzingel,CAR,LW
8476882,2019020023,0,0,0,0,1.0,0.0,T. Teravainen,CAR,LW
8476894,2019020023,3,0,0,0,0.0,0.0,B. Leipsic,WSH,LW
8476921,2019020023,0,0,1,0,0.0,0.0,J. Martinook,CAR,LW
8476934,2019020023,3,0,2,1,0.0,0.0,B. McGinn,CAR,LW
8477944,2019020023,1,0,2,1,0.0,1.0,J. Vrana,WSH,LW
8477998,2019020023,1,0,0,0,1.0,0.0,W. Foegele,CAR,LW
8473986,2019020031,2,0,0,0,0.0,0.0,A. Killorn,TBL,LW
8475287,2019020031,3,1,19,15,2.0,2.0,E. Haula,CAR,LW
8476288,2019020031,1,0,0,0,0.0,0.0,R. Dzingel,CAR,LW
8476292,2019020031,1,0,0,0,0.0,2.0,O. Palat,TBL,LW
8476882,2019020031,3,0,1,1,1.0,0.0,T. Teravainen,CAR,LW
8476921,2019020031,0,0,1,0,1.0,2.0,J. Martinook,CAR,LW
8476934,2019020031,1,0,2,1,1.0,0.0,B. McGinn,CAR,LW
8477998,2019020031,4,0,0,0,2.0,0.0,W. Foegele,CAR,LW
8473422,2019020068,1,0,6,2,3.0,1.0,N. Foligno,CBJ,LW
8475287,2019020068,2,1,19,12,0.0,1.0,E. Haula,CAR,LW
8476288,2019020068,1,0,1,1,0.0,0.0,R. Dzingel,CAR,LW
8476882,2019020068,0,0,0,0,1.0,0.0,T. Teravainen,CAR,LW
8476934,2019020068,1,0,0,0,0.0,1.0,B. McGinn,CAR,LW
8477947,2019020068,2,0,0,0,0.0,0.0,S. Milano,CBJ,LW
8477998,2019020068,2,0,1,0,2.0,0.0,W. Foegele,CAR,LW
8481650,2019020068,1,0,0,0,1.0,1.0,J. Lilja,CBJ,LW
8473986,2019020086,0,0,0,0,1.0,1.0,A. Killorn,TBL,LW
8474034,2019020086,3,0,1,1,0.0,0.0,P. Maroon,TBL,LW
8474038,2019020086,0,0,0,0,2.0,0.0,P. Byron,MTL,LW
8475193,2019020086,3,0,1,0,0.0,0.0,T. Tatar,MTL,LW
