name,pos,dist,hand,st_x,st_y,goal,team,event,period,period_time_remaining,game_id,player_id,shot_id,period_type,miss_loc,assist,assist2,blocker,goalie,scorer,date_time,shot_type,missed_net,empty,gw
J. McCann,C,31.575306807693888,L,58.0,6.0,False,PIT,Shot,1,1116.0,2019020007,8477955.0,2019020007_10,REGULAR,,,,,8475622.0,,2019-10-04 00:14:44,snap,False,False,False
J. Skinner,LW,87.28115489611719,L,2.0,7.0,False,BUF,Shot,1,1109.0,2019020007,8475784.0,2019020007_11,REGULAR,,,,,8476899.0,,2019-10-04 00:14:51,slap,False,False,False
J. Vesey,LW,9.486832980505138,L,86.0,9.0,False,BUF,Shot,1,1086.0,2019020007,8476918.0,2019020007_13,REGULAR,,,,,8476899.0,,2019-10-04 00:15:13,wrist,False,False,False
C. Sheary,LW,19.4164878389476,L,85.0,-19.0,False,BUF,Shot,1,1073.0,2019020007,8477839.0,2019020007_17,REGULAR,,,,,8476899.0,,2019-10-04 00:15:40,wrist,False,False,False
R. Ristolainen,D,59.94163828258284,R,36.0,-28.0,False,BUF,Shot,1,1066.0,2019020007,8477499.0,2019020007_20,REGULAR,,,,,8476899.0,,2019-10-04 00:16:08,wrist,False,False,False
R. Ristolainen,D,42.15447781671598,R,73.0,-39.0,False,BUF,Shot,1,1036.0,2019020007,8477499.0,2019020007_24,REGULAR,,,,,8476899.0,,2019-10-04 00:16:41,wrist,False,False,False
J. McCabe,D,57.8013840664737,L,43.0,35.0,False,BUF,Missed Shot,1,1030.0,2019020007,8476931.0,2019020007_25,REGULAR,wide of net,,,,,,2019-10-04 00:16:46,,True,False,False
M. Scandella,D,49.04079934095692,L,58.0,38.0,False,BUF,Shot,1,995.0,2019020007,8474618.0,2019020007_31,REGULAR,,,,,8476899.0,,2019-10-04 00:17:43,snap,False,False,False
E. Malkin,C,37.57658845611187,L,55.0,16.0,False,PIT,Shot,1,966.0,2019020007,8471215.0,2019020007_34,REGULAR,,,,,8475622.0,,2019-10-04 00:18:44,snap,False,False,False
J. Larsson,C,42.43819034784589,L,54.0,24.0,False,BUF,Shot,1,951.0,2019020007,8475728.0,2019020007_38,REGULAR,,,,,8476899.0,,2019-10-04 00:19:32,wrist,False,False,False
J. Larsson,C,42.485291572496,L,51.0,-19.0,False,BUF,Shot,1,936.0,2019020007,8475728.0,2019020007_41,REGULAR,,,,,8476899.0,,2019-10-04 00:19:49,wrist,False,False,False
M. Scandella,D,48.41487374764082,L,51.0,30.0,False,BUF,Shot,1,889.0,2019020007,8474618.0,2019020007_48,REGULAR,,,,,8476899.0,,2019-10-04 00:21:27,wrist,False,False,False
C. Sheary,LW,19.209372712298546,L,77.0,-15.0,True,BUF,Goal,1,877.0,2019020007,8477839.0,2019020007_51,REGULAR,,8479999.0,,,8476899.0,8477839.0,2019-10-04 00:22:00,wrist,False,False,False
J. Schultz,D,67.23094525588644,R,31.0,-34.0,False,PIT,Shot,1,810.0,2019020007,8474602.0,2019020007_58,REGULAR,,,,,8475622.0,,2019-10-04 00:24:21,wrist,False,False,False
S. Reinhart,C,25.238858928247925,R,75.0,-21.0,False,BUF,Shot,1,800.0,2019020007,8477933.0,2019020007_59,REGULAR,,,,,8476899.0,,2019-10-04 00:24:31,wrist,False,False,False
J. Skinner,LW,19.313207915827967,L,96.0,18.0,False,BUF,Shot,1,722.0,2019020007,8475784.0,2019020007_70,REGULAR,,,,,8476899.0,,2019-10-04 00:28:36,wrist,False,False,False
C. Mittelstadt,C,21.840329667841555,L,83.0,21.0,False,BUF,Shot,1,718.0,2019020007,8479999.0,2019020007_71,REGULAR,,,,,8476899.0,,2019-10-04 00:28:44,wrist,False,False,False
D. Simon,C,26.019223662515376,L,63.0,-1.0,False,PIT,Missed Shot,1,674.0,2019020007,8478866.0,2019020007_77,REGULAR,wide of net,,,,,,2019-10-04 00:29:50,,True,False,False
Z. Girgensons,C,17.804493814764857,L,78.0,14.0,False,BUF,Shot,1,576.0,2019020007,8476878.0,2019020007_84,REGULAR,,,,,8476899.0,,2019-10-04 00:31:28,wrist,False,False,False
M. Pettersson,D,64.41273166075166,L,32.0,-30.0,False,PIT,Shot,1,523.0,2019020007,8477969.0,2019020007_91,REGULAR,,,,,8475622.0,,2019-10-04 00:34:43,wrist,False,False,False
J. Schultz,D,58.30951894845301,R,39.0,30.0,False,PIT,Shot,1,516.0,2019020007,8474602.0,2019020007_92,REGULAR,,,,,8475622.0,,2019-10-04 00:34:50,wrist,False,False,False
J. Skinner,LW,11.31370849898476,L,81.0,8.0,False,BUF,Shot,1,504.0,2019020007,8475784.0,2019020007_94,REGULAR,,,,,8476899.0,,2019-10-04 00:35:02,tip-in,False,False,False
J. McCann,C,70.26378868236469,L,25.0,29.0,False,PIT,Shot,1,455.0,2019020007,8477955.0,2019020007_96,REGULAR,,,,,8475622.0,,2019-10-04 00:35:52,wrist,False,False,False
B. Dumoulin,D,60.40695324215582,L,32.0,-20.0,False,PIT,Missed Shot,1,430.0,2019020007,8475208.0,2019020007_102,REGULAR,wide of net,,,,,,2019-10-04 00:37:17,,True,False,False
D. Simon,C,14.7648230602334,L,82.0,13.0,False,PIT,Shot,1,384.0,2019020007,8478866.0,2019020007_106,REGULAR,,,,,8475622.0,,2019-10-04 00:38:05,wrist,False,False,False
J. Schultz,D,46.09772228646444,R,44.0,10.0,False,PIT,Shot,1,362.0,2019020007,8474602.0,2019020007_110,REGULAR,,,,,8475622.0,,2019-10-04 00:38:54,snap,False,False,False
K. Letang,D,43.32435804486894,R,48.0,14.0,False,PIT,Shot,1,308.0,2019020007,8471724.0,2019020007_121,REGULAR,,,,,8475622.0,,2019-10-04 00:43:13,slap,False,False,False
E. Malkin,C,35.22782990761707,L,60.0,-20.0,False,PIT,Missed Shot,1,278.0,2019020007,8471215.0,2019020007_128,REGULAR,wide of net,,,,,,2019-10-04 00:44:24,,True,False,False
P. Hornqvist,RW,22.84731931759173,R,68.0,-9.0,False,PIT,Shot,1,265.0,2019020007,8471887.0,2019020007_129,REGULAR,,,,,8475622.0,,2019-10-04 00:44:37,wrist,False,False,False
Z. Girgensons,C,7.810249675906654,L,84.0,-6.0,False,BUF,Shot,1,219.0,2019020007,8476878.0,2019020007_131,REGULAR,,,,,8476899.0,,2019-10-04 00:45:26,backhand,False,False,False
